OBG0044,OBG0044_AHJC3YBBXX_L006_R1_001.fastq.gz,OBG0044_AHJC3YBBXX_L006_R2_001.fastq.gz
OBG-0050-DEC,OBG-0050-DEC_103_090_S66_L004_R1_001.fastq.gz,OBG-0050-DEC_103_090_S66_L004_R2_001.fastq.gz
OBG-0051-PLAC,OBG-0051-PLAC_179_014_S28_L003_R1_001.fastq.gz,OBG-0051-PLAC_179_014_S28_L003_R2_001.fastq.gz
OBG-0051-DEC,OBG-0051-DEC_127_066_S64_L004_R1_001.fastq.gz,OBG-0051-DEC_127_066_S64_L004_R2_001.fastq.gz
OBG-0066-PLAC,OBG-0066-PLAC_107_086_S34_L003_R1_001.fastq.gz,OBG-0066-PLAC_107_086_S34_L003_R2_001.fastq.gz
OBG-0066-DEC,OBG-0066-DEC_150_043_S70_L004_R1_001.fastq.gz,OBG-0066-DEC_150_043_S70_L004_R2_001.fastq.gz
OBG-0121-PLAC,OBG-0121-PLAC_178_015_S36_L003_R1_001.fastq.gz,OBG-0121-PLAC_178_015_S36_L003_R2_001.fastq.gz
OBG-0121-DEC,OBG-0121-DEC_126_067_S72_L004_R1_001.fastq.gz,OBG-0121-DEC_126_067_S72_L004_R2_001.fastq.gz
OBG-0138-PLAC,OBG-0138-PLAC_156_037_S22_L003_R1_001.fastq.gz,OBG-0138-PLAC_156_037_S22_L003_R2_001.fastq.gz
OBG-0138-DEC,OBG-0138-DEC_104_089_S58_L004_R1_001.fastq.gz,OBG-0138-DEC_104_089_S58_L004_R2_001.fastq.gz
OBG-0180-PLAC,OBG-0180-PLAC_132_061_S24_L003_R1_001.fastq.gz,OBG-0180-PLAC_132_061_S24_L003_R2_001.fastq.gz
OBG-0180-DEC,OBG-0180-DEC_175_018_S60_L004_R1_001.fastq.gz,OBG-0180-DEC_175_018_S60_L004_R2_001.fastq.gz
OBG-0188-PLAC,OBG-0188-PLAC_154_039_S38_L003_R1_001.fastq.gz,OBG-0188-PLAC_154_039_S38_L003_R2_001.fastq.gz
OBG-0188-DEC,OBG-0188-DEC_102_091_S74_L004_R1_001.fastq.gz,OBG-0188-DEC_102_091_S74_L004_R2_001.fastq.gz
OBG-0201-PLAC,OBG-0201-PLAC_130_063_S40_L003_R1_001.fastq.gz,OBG-0201-PLAC_130_063_S40_L003_R2_001.fastq.gz
OBG-0201-DEC,OBG-0201-DEC_173_020_S76_L004_R1_001.fastq.gz,OBG-0201-DEC_173_020_S76_L004_R2_001.fastq.gz
OBG-0205-PLAC,OBG-0205-PLAC_108_085_S26_L003_R1_001.fastq.gz,OBG-0205-PLAC_108_085_S26_L003_R2_001.fastq.gz
OBG-0205-DEC,OBG-0205-DEC_151_042_S62_L004_R1_001.fastq.gz,OBG-0205-DEC_151_042_S62_L004_R2_001.fastq.gz
OBG-0289-PLAC,OBG-0289-PLAC_106_087_S42_L003_R1_001.fastq.gz,OBG-0289-PLAC_106_087_S42_L003_R2_001.fastq.gz
OBG-0289-DEC,OBG-0289-DEC_149_044_S78_L004_R1_001.fastq.gz,OBG-0289-DEC_149_044_S78_L004_R2_001.fastq.gz
OBG-0338-PLAC,OBG-0338-PLAC_176_017_S52_L003_R1_001.fastq.gz,OBG-0338-PLAC_176_017_S52_L003_R2_001.fastq.gz
OBG-0338-DEC,OBG-0338-DEC_124_069_S88_L004_R1_001.fastq.gz,OBG-0338-DEC_124_069_S88_L004_R2_001.fastq.gz
OBG-0342-PLAC,OBG-0342-PLAC_152_041_S54_L003_R1_001.fastq.gz,OBG-0342-PLAC_152_041_S54_L003_R2_001.fastq.gz
OBG-0342-DEC,OBG-0342-DEC_100_093_S90_L004_R1_001.fastq.gz,OBG-0342-DEC_100_093_S90_L004_R2_001.fastq.gz
